股票代碼,股票名稱,本月成交量(千股),本月成交值(千元),本月底市價(元),上月底市價(元),本月平均價(元),發行股份(千股),上市股份(千股),資本額(百萬元),預期回報
1102,亞洲水泥 ACC,164075.575,5525153.749,30.3,34.6,33.67,2985735.483,2985735.483,29857.35483,-0.12427745664739887
1103,嘉新水泥 CHC,78237.953,1389037.958,15.8,18.1,17.75,717877.855,717877.855,7178.77855,-0.12707182320441993
1104,環球水泥 UCC,56618.576,1035835.282,16.25,17.5,18.29,603891.908,603891.908,6038.91908,-0.07142857142857142
1108,幸福水泥 Lucky Cement,39477.362,354373.009,7.92,8.95,8.98,404738.049,404738.049,4047.38049,-0.1150837988826815
1109,信大水泥 HsingTa,9478.885,101209.082,10.05,10.5,10.68,421000.76,421000.76,4210.0076,-0.04285714285714279
1110,東南水泥 TUNA CEMENT,25568.879,308266.615,11,11.35,12.06,572000.797,572000.797,5720.007970000001,-0.030837004405286313
1201,味全食品 Wei-Chuan,167459.375,6713120.802,34.2,43.6,40.09,506062.914,506062.914,5060.62914,-0.21559633027522931
1203,味王 Ve Wong,47425.605,1296756.319,24.4,25.75,27.34,219716.45,219716.45,2197.1645,-0.052427184466019475
1210,大成長城 GREATWALL,107647.951,3809800.743,32.65,35.2,35.39,471112.301,471112.301,4711.123009999999,-0.07244318181818193
1215,卜蜂企業 CPE,55903.452,906709.25,14.9,15.55,16.22,232026.838,232026.838,2320.26838,-0.04180064308681674
1216,統一企業 PEC,226068.482,8405429.446,34.2,39.45,37.18,3897400.264,3897400.264,38974.00264,-0.13307984790874525
1217,愛之味 AGV,136592.798,1759468.974,11.35,13.15,12.88,447689.257,447689.257,4476.89257,-0.1368821292775666
1218,泰山 TAISUN,128379.843,1725531.615,11.85,13.05,13.44,320243.369,320243.369,3202.43369,-0.09195402298850583
1219,福壽 FWUSOW,56448.615,764437.098,12.05,13.25,13.54,274307.957,274307.957,2743.07957,-0.09056603773584901
1220,台榮 TAIROUN,50612.518,547325.154,11.4,9.1,10.81,177077.944,177077.944,1770.77944,0.25274725274725285
