股票代碼,股票名稱,平均成交量,平均預期回報,波動率(標準差)
1102,亞洲水泥 ACC,118850.61411666666,0.06126303491522633,0.23115016396355392
1103,嘉新水泥 CHC,19601.111226890756,0.051524488164691684,0.23592576974164148
1104,環球水泥 UCC,13118.338175,0.033990266307692085,0.21461718074931121
1108,幸福水泥 Lucky Cement,9878.988625,0.0074529116467603185,0.1686551700513237
1109,信大水泥 HsingTa,3958.927191666667,0.08438113093722532,0.18138477089777072
1110,東南水泥 TUNA CEMENT,4862.332141666667,0.06279158401303575,0.19357218182322272
1201,味全食品 Wei-Chuan,51743.50612499999,-0.011473000125292176,0.29265712058627935
1203,味王 Ve Wong,4400.582299999999,0.015763292754005676,0.14715485454826877
1210,大成長城 GREATWALL,47827.56342500001,0.05475111397058585,0.25235425286694874
1215,卜蜂企業 CPE,35903.75940833334,0.20558899634219996,0.2976021298665923
1216,統一企業 PEC,195938.56405,0.0808661906463004,0.17197511232176038
1217,愛之味 AGV,50302.130225,-0.03509000050078692,0.22720536723913698
1218,泰山 TAISUN,45496.03245833333,0.09532929224549003,0.28058360463419807
1219,福壽 FWUSOW,6475.726333333333,0.04743269308448661,0.16130340485846603
1220,台榮 TAIROUN,5744.6922583333335,0.051802730374912676,0.2914446355824141
1225,福懋油脂 FOPCO,10704.730808333336,0.13292862294941887,0.323283181526666
1227,佳格食品 S.F.C,32151.057175,0.09221755521176633,0.3005244072596333
1229,聯華實業 LHIC,40308.604016666664,0.11093356210564709,0.1999550380130563
1231,聯華食品 Lian Hwa Foods,10884.772516666668,0.15628024086316228,0.27347047445850237
1232,大統益 TTET,2591.1424166666666,0.1329326148048866,0.13943163168074368
1233,天仁 Ten Ren,1614.8115750000002,0.019991329510430367,0.1380125633022628
1234,黑松 Hey-Song,18626.324991596637,0.08590703758987539,0.27398627285654037
1235,興泰 Shin Tai,3516.078575,0.03864353737162829,0.4214948420076494
1236,宏亞食品 Hunya Foods,1994.258441666667,-0.006583020490729674,0.18907811278092732
1702,南僑化工 NAMCHOW,38010.95780833333,0.1201910080233286,0.3534580521971569
1301,臺灣塑膠 FPC,145315.52892500002,0.0554683761925403,0.17069744908861115
1303,南亞塑膠 NPC,154250.39004166666,0.046634205256087746,0.21493599412919107
1304,臺灣聚合 USI,79230.07880833333,-0.0010807380380278842,0.2779574375438401
1305,華夏塑膠 CGPC,84031.71510833334,0.11856158587099164,0.34789213524742246
1307,三芳化工 SAN FANG,6031.579108333333,-0.011571670349545982,0.26943154399785163
1308,亞聚 APC,31008.771558333337,-0.006658169228944022,0.2971688904463969
1309,台達化 TTC,39853.252041666674,0.04249857528302581,0.35090026739344804
1310,臺灣苯乙烯 T.S.M.C.,98522.22150833333,0.11519042555928194,0.3746141627607897
1312A,國喬石化        (特 別) GPPC preferred,515.2833333333333,0.08387864592769101,0.20610931789138262
1313,聯成 UPC,58266.75425,-0.011525731926746774,0.2524462849301927
1314,中石化 CPDC,420699.0039416667,0.03085600958954937,0.3335676871182942
1315,達新工業 TAHHSIN,2895.900675,0.08980859554143383,0.17308139530366648
1316,上曜 SUN YAD,12172.399000000001,0.17420647172628567,0.5109508294314427
1319,東陽 TYG,52343.389383333335,0.017661177460917443,0.28570955069079673
1321,大洋 OPC,8716.662466666667,0.09908867048637271,0.3000951266124646
1323,永裕 YONYU,9246.065766666667,0.10162442761391288,0.288387121023355
1324,地球 Globe,4032.3329166666667,-0.054128269471227175,0.2760590425721773
1325,恒大 UK,5737.764109243698,-0.03157491819870417,0.20690913240576636
1326,臺灣化纖 FCFC,124043.81990833332,0.04245733158591203,0.19280923781473927
4306,炎洲 YEMCHIO,31515.956324999996,-0.0362274553890527,0.22507332632529947
1402,遠東新 FENC,167156.14778333332,-0.007603621733115462,0.2071540195242955
1409,新光合纖 SSFC,139148.61937499998,0.035516017950063095,0.23416211445039628
1410,南洋染整 NYDF,6236.8760250000005,0.08973834169092809,0.2790297700218933
1413,宏洲化工 H.C.,7702.843008333334,0.13826152460205443,0.4106355567672332
1414,東和紡織 TUNG HO,23225.122549999996,0.060041060842502825,0.2984016368792013
1416,廣豐實業 KFIC,20017.89522881356,0.03943294760831639,0.31410022241817537
1417,嘉裕 Carnival,38935.42724999999,0.05656978919273192,0.3090741261142201
1419,新光紡織 SHINKO.SPIN.,17096.964116666662,0.05394845438803397,0.25899431403493994
1423,利華羊毛 Reward Wool,7939.2341750000005,0.03983985988791594,0.16661913480574236
1434,福懋 Formosa Taffeta,31745.83075833333,0.044433477083186235,0.18021883508705977
1439,中和羊毛 Chuwa Wool,11799.12525,0.13234656185716975,0.4896607498056464
1440,台南紡織 Tainan Spinning,66665.53919166667,0.017662128286748624,0.2734970077388642
1441,大東紡織 Tah Tong,8628.438195402297,0.07142698621483667,0.502386263780418
1443,立益紡織 LILYTEXTILE,7099.910916666667,0.1980081257995978,0.40594893570160284
1444,力麗 LEALEA,87421.0628,0.048567810536893186,0.2874816380191906
1445,大宇紡織 Universal,7980.99665,0.0012202908919864974,0.2059328365467019
1446,宏和紡織 Hong Ho,6073.388875000001,0.20755802063384632,0.3047752463295049
1447,力鵬 LP,61361.57005833333,-0.019477437348059845,0.3129882805848581
1451,年興紡織 NIEN HSING,15561.791310924371,0.03559871783829638,0.23491443279583518
1452,宏益纖維 HONG YI,24274.10815,0.13398634638995155,0.33296875455626984
1453,大將 TA JIANG,3566.5903583333334,0.013163410793762376,0.22295935194234745
1454,臺灣富綢 TTF,6242.6688,0.03978435493854904,0.27183227565602575
1455,集盛 ZIG SHENG,89863.13909166666,-0.0028695416341771862,0.3058567630336843
1457,宜進 YI JINN,49317.042466666666,0.09360075250394928,0.26908912789528655
1459,聯發紡織 Lan Fa Textile,16186.389949999999,0.01994902982402813,0.2956258787505938
1460,宏遠 Everest Textile,31571.53571666667,0.07378594972022712,0.29796440800136775
1463,強盛染整 CS,21070.259516666665,0.07146674739303371,0.31598985744537966
1464,得力 DE LICACY,34047.54218333334,0.21164796596541047,0.37781375067642703
1465,偉全 WISHER,4890.9485,0.06329645710308163,0.24941491562608858
1466,聚隆纖維 Acelon,13656.130683333333,0.10490357850297394,0.47034021867981635
1467,南緯 TEX-RAY,16993.86600833333,0.050367680658449654,0.3191614592346988
1468,昶和纖維 CHANG HO,823.43045,0.05124993392861521,0.40263534763537717
1470,大統染 EVERTEX,401.4189833333333,0.11388894201475108,0.26704795810523385
1472,三洋纖維 Tri Ocean,7891.476175000001,0.3681876262189141,0.6058945618220949
1473,台南企業 Tainan,11404.977216666668,-0.0021099360929023314,0.28415007530696834
1474,弘裕 HONMYUE,9224.741891666667,0.06447429199051635,0.25342916998840537
1476,儒鴻企業 ECLAT,31115.581083333334,0.438562731637959,0.39570949729209326
1477,聚陽 Makalot,25040.76710833333,0.13301672345686244,0.24639440533569265
4414,如興 ROO HSING,36183.527260504205,0.15758198067033513,0.41403411241934657
1503,士林電機 SEEC,6379.7518083333325,0.016354407776927093,0.11863014462425402
1504,東元電機 TECO,123099.09786666666,0.09203182447892222,0.2272944920447084
1506,正道 R.W.,13602.504374999999,0.06903011942762216,0.37322365132199226
1507,永大機電 YUNGTAY,20169.616391666666,0.1362479231189182,0.2725434505107903
1513,中興電工 CHEM,37721.196747899165,0.036980368276812836,0.20723428959697357
1514,亞力電機 AEC,22397.794791666667,0.0598100491675686,0.2931679303049171
1515,力山工業 REXON,31701.977857142858,0.34211678733633777,0.458467226707407
1517,利奇機械 Lee Chi,20803.89631666667,0.010809494544686382,0.2542989140808932
1519,華城電機 FE,16123.160608333334,0.05137915208650745,0.35648278249451576
1521,大億 DAIOKU,5989.63175,0.07619501535599538,0.30865420228191154
1522,堤維西 TYC,27202.57900833333,0.04487119238984305,0.28229914558718866
1524,耿鼎 GORDON,16252.714291666665,-0.008539409138704879,0.24533071798924194
1525,江申 KSC,5939.456258333333,0.0783658742464366,0.4239993239418383
1526,日馳 SUNRACE,11559.887933333335,0.28341061297222736,0.5651405204643243
1527,鑽全 BASSO,22830.836268907562,0.07777614870114458,0.3384294057768125
1528,恩德科技 Anderson,15740.006966666666,0.017460902133679568,0.28443973679211226
1530,亞崴電機 Awea,3015.5319666666664,0.019968717039448247,0.2769394252815925
1531,高林股 Kaulin,18303.073466666672,0.02265350267106192,0.2925260625046465
1533,車王電 MORE,15213.782658333335,0.12184312167419997,0.4305608889198279
1535,中宇 CEC,3362.036,-0.004045004499802607,0.20772377665470423
1536,和大 HOTA,53765.83495833333,0.3059882803266081,0.34614818134029846
1537,廣隆光電 KUNG LONG,13126.501475000001,0.1756530874461193,0.27136722876677083
1539,巨庭機械 GEETECH,11061.202141666667,0.1830311957878652,0.4233047974330077
1540,喬福機械 JOHNFORD,5296.5408,-0.03389478670475454,0.20432132146348803
1541,錩泰 Chang Type,5097.600816666667,0.1522044719236315,0.4836171055657265
1560,中砂 KINIK,22982.64193333333,0.11438876248010521,0.3345117812544849
1583,程泰 GOODWAY,1758.1775000000002,0.11661150739911563,0.300440226565501
2049,上銀科技 HIWIN,73374.04212499999,0.3264186542175882,0.44553035227040616
4526,東台 TOPPER,17010.2649,-0.0049433817608869335,0.2690713161524218
4532,瑞智 RECHI,45935.23988333333,0.11105883393767657,0.2829370778405309
6605,帝寶 DEPO,6485.688491666666,-0.017098148492322718,0.19353416173301832
8374,羅昇 ACE PILLAR,14930.097608333333,0.0694542676306622,0.4807670765045663
1603,中華電纜 CWCO,12193.371863247863,0.11038688391385776,0.28159751365291963
1605,華新麗華 WALSIN,271911.4718416667,0.0814003282600182,0.32638359773757175
1608,華榮 HE,27308.68465,0.011989033299690366,0.23168723228909655
1609,大亞電纜 TA YA,62233.707158333345,0.06796137612365061,0.2969628584837222
1611,中國電器 CE,25232.701641666663,-0.03821768888261534,0.29585874263583606
1612,宏泰電工 Hong Tai,14187.696041666666,-0.005885590467118451,0.19967730530352962
1614,三洋電機 SANYO,4459.022675,0.011649505585615394,0.20494003769673677
1615,大山電纜 Dah San,3470.6868750000003,0.07727608182490275,0.3162948038453999
1616,億泰電纜 Evertop,8315.666449999999,0.00643244432640544,0.3145412331817295
1617,榮星電線 JSW,5337.206033333334,0.08483084763504745,0.2709084786255181
1618,合機電纜 Hold-Key,11390.480066666667,-0.053910469389009896,0.2512377384742787
1802,臺灣玻璃 Taiwan Glass,59078.973366666665,-0.037468023158097497,0.30476766795529575
1806,冠軍 CHAMPION,34845.45489166667,-0.0756330259789798,0.24046297848699102
1809,中國製釉 China Glaze,29524.45743697479,-0.007301502197333609,0.3389983779356563
1810,和成欣業 HCG,20208.04165833333,-0.010128460679289741,0.2068266002444249
1902,台灣紙業 TPPC,33126.195283333334,0.10867518575302038,0.29476913507533176
1903,士林紙業 Shihlin Paper,4426.463275,-0.05757486468604689,0.22772277062856772
1904,正隆 Cheng Loong,46966.807133333336,0.061360104381082525,0.18820489046228153
1905,中華紙漿 CHP,46862.146025,-0.023963414464909683,0.23311191138586743
1906,寶隆 P.L,11316.685349999998,0.1355599167649364,0.37116838490532905
1907,永豐餘 YFY,55509.48329999999,0.015878499897939324,0.20036710290795126
1909,榮成紙業 LCP,78366.53334166665,0.09275881608809455,0.3468478415252422
1532,勤美 CMP,21286.33758333333,0.015927304361703865,0.32740399979666396
2002A,中國鋼鐵        (特 別) China Steel preferred,385.4097666666667,0.03854632102989286,0.05491986433989186
2006,東和鋼鐵 Tung Ho Steel,42265.62938333334,-0.02135762936650132,0.19720354759205425
2007,燁興 YH,8080.3116666666665,-8.033292031162098e-05,0.31913605188663435
2009,第一伸銅 First Copper Technology,18590.971891666664,0.013397455981241535,0.313312226966145
2010,春源鋼鐵 Chun Yuan Steel,14216.163741666667,-0.024472060587375055,0.15179890922945274
2012,春雨工廠 Chun Yu,8235.614133333333,0.09238787520563907,0.17848975084533902
2013,中鋼構 CSSC,13801.083333333334,0.03133721510096987,0.24987508675565878
2015,豐興鋼鐵 FH,15296.614358333334,0.013773515195216968,0.16906731823874324
2017,官田鋼 Quintain Steel,28733.237208333332,-0.009737702453657349,0.2762964468917943
2020,美亞 MAYER PIPE,11031.3473,-0.03184615795217771,0.2314585566389332
