股票代碼,股票名稱,本月成交量(千股),預期回報,日期
1216,統一企業 PEC,226068.482,-0.1330798479087452,2010-01-01
6285,啟碁 WNC,87000.517,-0.0794223826714801,2010-01-01
1301,臺灣塑膠 FPC,201409.976,-0.0104011887072808,2010-01-01
3017,奇鋐 AVC,90376.653,-0.1175,2010-01-01
2913,臺灣農林 TTC,198666.961,-0.1031941031941032,2010-01-01
1326,臺灣化纖 FCFC,170630.219,-0.0014409221902018,2010-01-01
2801,彰銀 C.H.B,236751.829,-0.0524590163934426,2010-01-01
2511,太子 PHD,292985.022,0.0,2010-01-01
6176,瑞儀 ROEC,103226.106,-0.0494092373791621,2010-01-01
2449,京元電 KYEC,433045.226,-0.006578947368421,2010-01-01
2323,中環 CMC,1217873.727,-0.0169286577992743,2010-01-01
2426,鼎元 Tyntek,111240.569,-0.144,2010-01-01
2329,華泰 OSE,141455.167,-0.3456,2010-01-01
2406,國碩 Gigastorage,178250.52,-0.1791255289139633,2010-01-01
2367,燿華 Unitech,88412.056,-0.1805054151624548,2010-01-01
9904,寶成工業 Pou Chen,305641.099,-0.0531496062992125,2010-01-01
2349,錸德 RITEK,1317237.062,-0.075,2010-01-01
8163,達方電子 DARFON,128105.001,-0.0749506903353058,2010-01-01
6209,今國光學 KINKO,169473.001,0.0562770562770561,2010-01-01
2352,佳世達 Qisda,374891.4,-0.1695760598503741,2010-01-01
2511,太子 PHD,99196.567,-0.0983606557377049,2010-02-01
9904,寶成工業 Pou Chen,91635.645,-0.0166320166320167,2010-02-01
6176,瑞儀 ROEC,32730.236,-0.1129943502824858,2010-02-01
6285,啟碁 WNC,31636.437,-0.003921568627451,2010-02-01
1301,臺灣塑膠 FPC,150331.933,0.0390390390390391,2010-02-01
2367,燿華 Unitech,23046.083,-0.066079295154185,2010-02-01
3017,奇鋐 AVC,33666.794,-0.0538243626062322,2010-02-01
2352,佳世達 Qisda,107082.318,-0.0750750750750749,2010-02-01
1216,統一企業 PEC,137146.069,0.0409356725146198,2010-02-01
2349,錸德 RITEK,284656.367,-0.0208845208845209,2010-02-01
6209,今國光學 KINKO,72886.5,0.0020491803278688,2010-02-01
2406,國碩 Gigastorage,69554.571,0.0309278350515463,2010-02-01
1326,臺灣化纖 FCFC,97207.483,0.0461760461760462,2010-02-01
2913,臺灣農林 TTC,43520.71,-0.1123287671232877,2010-02-01
2801,彰銀 C.H.B,122436.833,-0.0207612456747404,2010-02-01
2329,華泰 OSE,39154.644,0.0660146699266504,2010-02-01
2449,京元電 KYEC,145700.947,-0.0695364238410595,2010-02-01
8163,達方電子 DARFON,34580.631,-0.0810234541577824,2010-02-01
