,股票代碼,股票名稱,平均成交量,平均預期回報,波動率(標準差)
1,1216,統一企業 PEC,195938.56405,0.0808661906463004,0.1719751123217603
2,1301,臺灣塑膠 FPC,145315.52892500002,0.0554683761925403,0.1706974490886111
7,1326,臺灣化纖 FCFC,124043.81990833332,0.042457331585912,0.1928092378147392
22,2511,太子 PHD,75004.09258333333,0.0106304102592436,0.28952911236118
32,2801,彰銀 C.H.B,269193.90945833334,0.0622653148542575,0.2061706945072079
48,2913,臺灣農林 TTC,75388.69468333333,0.0098534160815382,0.2477458993124035
54,2329,華泰 OSE,67460.71282500001,0.1155967664283055,0.4383817534251771
60,2449,京元電 KYEC,156515.6620916667,0.1386010773319117,0.2849438955914945
72,2352,佳世達 Qisda,212078.4486333333,0.0608865371691766,0.3280306572613595
81,3017,奇鋐 AVC,108336.75769166667,0.0649407676089859,0.3516305339639861
82,2323,中環 CMC,322142.33257499995,0.0863404650200154,0.3993903369776582
84,2349,錸德 RITEK,289178.2285916666,0.1438934466448149,0.6835644998614925
85,2406,國碩 Gigastorage,105057.668875,0.0292297750558223,0.5371219537676438
86,2426,鼎元 Tyntek,60062.058,0.0283961306646318,0.4769514726410425
90,6176,瑞儀 ROEC,107835.16943333336,0.1567213068275643,0.323171777957723
91,6209,今國光學 KINKO,68186.29325833333,0.1262358608709977,0.4399659810424463
104,6285,啟碁 WNC,69222.62459166667,0.0879101008834208,0.3266163885301521
109,2367,燿華 Unitech,168722.7152083333,0.1679354392189236,0.3768472402703189
120,8163,達方電子 DARFON,65421.19869166667,0.1085662658324819,0.53328473054527
124,9904,寶成工業 Pou Chen,132168.83083333334,0.0644728355494945,0.1973491674960026
